hora,momento,bg_r,bg_g,bg_b,text_r,text_g,text_b,accent_r,accent_g,accent_b,surface_r,surface_g,surface_b,slider_r,slider_g,slider_b
0,Madrugada,8,8,18,110,120,140,50,60,90,14,14,28,40,50,80
1,Madrugada,6,6,16,100,110,135,45,55,85,12,12,26,35,45,75
2,Madrugada,5,5,15,95,105,130,40,50,80,11,11,24,30,40,70
3,Madrugada,5,5,15,90,100,125,38,48,78,10,10,22,28,38,68
4,Amanecer,12,10,22,100,100,120,60,50,80,18,16,30,50,42,70
5,Amanecer,40,25,50,180,150,170,220,140,120,55,38,65,180,100,90
6,Amanecer,80,45,55,240,200,190,255,160,100,100,60,70,240,140,90
7,Sol naciente,180,120,80,60,30,10,255,180,80,200,140,100,255,160,60
8,Mañana,220,200,170,60,50,30,200,150,60,235,220,195,220,160,60
9,Mañana,230,225,210,55,50,35,180,140,60,240,236,225,200,160,70
10,Media mañana,220,228,235,40,55,70,80,130,180,235,240,248,80,130,180
11,Mediodía,228,238,245,35,55,75,70,140,200,240,248,255,70,140,200
12,Mediodía,232,240,248,30,55,78,60,130,195,242,250,255,60,130,195
13,Tarde temprana,235,228,215,65,55,35,200,150,60,245,240,228,200,150,60
14,Tarde,230,215,185,75,55,25,210,140,50,240,228,205,210,140,50
15,Tarde,225,200,160,80,50,20,220,130,40,238,218,185,220,130,40
16,Tarde tardía,215,175,120,70,40,10,240,120,30,230,195,150,240,120,30
17,Atardecer,200,130,70,60,25,5,255,120,40,220,155,100,255,120,40
18,Atardecer,160,80,55,240,180,160,255,100,50,180,100,75,255,100,50
19,Crepúsculo,90,50,65,200,170,190,180,100,140,110,65,80,160,90,120
20,Noche temprana,35,25,48,140,130,160,100,80,130,48,38,62,90,70,120
21,Noche,18,18,32,120,120,150,70,70,110,26,26,42,60,60,100
22,Noche,12,12,25,110,115,140,55,60,95,20,20,35,48,52,85
23,Noche,10,10,22,105,110,135,50,58,90,16,16,30,42,48,80
